Date,Lesson #,Lesson,Day,Notes,Colour
2026-09-07,,Labour Day,,,#D3C7E6
2026-09-08,1,Introduction,1/1,,#BEDAE3
2026-09-09,2,Diagnostic Quiz,1/1,,#AA6767
2026-09-10,,PD Day 1,,,#F1B598
2026-09-11,3,Polynomials,1/5,,#BEDAE3
2026-09-14,,PD Day 2,,,#F1B598
2026-09-15,3,Polynomials,2/5,,#BEDAE3
2026-09-16,,PD Day 3,,,#F1B598
2026-09-17,3,Polynomials,3/5,,#BEDAE3
2026-09-18,3,Polynomials,4/5,,#BEDAE3
2026-09-21,,Pass,,,#F1B598
2026-09-22,3,Polynomials,5/5,,#BEDAE3
2026-09-23,4,Exponentials,1/2,,#BEDAE3
2026-09-24,4,Exponentials,2/2,,#BEDAE3
2026-09-25,5,Polynomial Quiz + Introduction to Factoring,1/1,,#BEDAE3
2026-09-28,6,Factoring,1/2,,#BEDAE3
2026-09-29,6,Factoring,2/2,,#BEDAE3
2026-09-30,7,Factoring by Grouping,1/1,,#BEDAE3
2026-10-01,8,Factoring by axc +b,1/3,,#BEDAE3
2026-10-02,8,Factoring by axc +b,2/3,,#BEDAE3
2026-10-05,8,Factoring by axc +b,3/3,,#BEDAE3
2026-10-06,9,Test,1/1,,#BEDAE3
